iter	Passed	Remaining
673	17844	8630
674	17868	8603
675	17894	8576
676	17918	8549
677	17946	8523
678	17969	8495
679	18003	8472
680	18034	8447
681	18063	8422
682	18090	8396
683	18118	8370
684	18149	8345
685	18176	8319
686	18201	8292
687	18227	8265
688	18251	8238
689	18277	8211
690	18303	8185
691	18328	8157
692	18354	8131
693	18379	8103
694	18406	8077
695	18430	8050
696	18456	8023
697	18481	7996
698	18509	7970
699	18535	7943
700	18559	7916
701	18584	7889
702	18609	7862
703	18635	7835
704	18659	7807
705	18686	7781
706	18711	7754
707	18738	7728
708	18764	7701
709	18788	7674
710	18814	7647
711	18839	7620
712	18865	7594
713	18890	7566
714	18917	7540
715	18941	7513
716	18968	7486
717	19001	7463
718	19030	7437
719	19058	7411
720	19086	7385
721	19120	7362
722	19149	7336
723	19181	7312
724	19211	7287
725	19237	7260
726	19271	7236
727	19302	7212
728	19332	7186
729	19359	7160
730	19384	7133
731	19410	7106
732	19433	7078
733	19459	7051
734	19483	7024
735	19508	6997
736	19532	6970
737	19559	6943
738	19584	6916
739	19611	6890
740	19634	6862
741	19662	6836
742	19687	6809
743	19711	6782
744	19736	6755
745	19760	6728
746	19787	6701
747	19810	6674
748	19837	6647
749	19860	6620
750	19885	6593
751	19908	6565
752	19933	6538
753	19957	6511
754	19982	6484
755	20006	6457
756	20029	6429
757	20055	6402
758	20080	6375
759	20130	6356
760	20156	6330
761	20181	6303
762	20212	6278
763	20240	6252
764	20266	6225
765	20336	6212
766	20360	6185
767	20386	6158
768	20409	6130
769	20434	6103
770	20459	6076
771	20484	6049
772	20508	6022
773	20532	5995
774	20557	5968
775	20583	5941
776	20608	5914
777	20633	5887
778	20656	5860
779	20683	5833
780	20705	5806
781	20730	5779
782	20753	5751
783	20779	5724
784	20802	5697
785	20829	5671
786	20852	5643
787	20876	5616
788	20899	5589
789	20924	5562
790	20949	5535
791	20976	5508
792	21003	5482
793	21027	5455
794	21051	5428
795	21076	5401
796	21100	5374
797	21125	5347
798	21149	5320
799	21179	5294
800	21207	5268
801	21232	5242
802	21258	5215
803	21284	5188
804	21311	5162
805	21339	5136
806	21363	5109
807	21392	5083
808	21421	5057
809	21445	5030
810	21473	5004
811	21507	4979
812	21532	4952
813	21557	4925
814	21581	4898
815	21606	4871
816	21630	4845
817	21656	4818
818	21680	4791
819	21706	4764
820	21730	4737
821	21755	4711
822	21779	4684
823	21804	4657
824	21831	4630
825	21854	4603
826	21879	4576
827	21902	4549
828	21927	4522
829	21951	4496
830	21978	4469
831	22004	4443
832	22028	4416
833	22051	4389
834	22074	4362
835	22099	4335
836	22123	4308
837	22148	4281
838	22173	4254
839	22197	4228
840	22222	4201
841	22247	4174
842	22273	4148
843	22298	4121
844	22324	4094
845	22351	4068
846	22378	4042
847	22406	4016
848	22432	3989
849	22461	3963
850	22488	3937
851	22512	3910
852	22535	3883
853	22559	3856
854	22582	3829
855	22608	3803
856	22633	3776
857	22658	3750
858	22684	3723
859	22707	3696
860	22734	3670
861	22757	3643
862	22779	3616
863	22830	3593
864	22862	3568
865	22888	3541
866	22915	3515
867	22938	3488
868	22961	3461
869	22985	3434
870	23014	3408
871	23037	3381
872	23062	3355
873	23085	3328
874	23110	3301
875	23134	3274
876	23160	3248
877	23185	3221
878	23209	3194
879	23232	3168
880	23258	3141
881	23282	3114
882	23306	3088
883	23331	3061
884	23357	3035
885	23381	3008
886	23410	2982
887	23438	2956
888	23463	2929
889	23491	2903
890	23518	2877
891	23548	2851
892	23577	2825
893	23603	2798
894	23634	2772
895	23660	2746
896	23687	2719
897	23711	2693
898	23737	2666
899	23760	2640
900	23785	2613
901	23808	2586
902	23832	2560
903	23856	2533
904	23880	2506
905	23905	2480
906	23929	2453
907	23953	2427
908	23978	2400
909	24004	2374
910	24027	2347
911	24049	2320
912	24074	2294
913	24099	2267
914	24122	2240
915	24146	2214
916	24169	2187
917	24193	2161
918	24218	2134
919	24243	2108
920	24266	2081
921	24290	2054
922	24313	2028
923	24339	2001
924	24361	1975
925	24386	1948
926	24409	1922
927	24433	1895
928	24457	1869
929	24483	1842
930	24510	1816
931	24538	1790
932	24566	1764
933	24592	1737
934	24619	1711
935	24647	1685
936	24672	1658
937	24697	1632
938	24721	1605
939	24747	1579
940	24771	1553
941	24796	1526
942	24818	1500
943	24844	1473
944	24868	1447
945	24893	1420
946	24916	1394
947	24940	1368
948	24963	1341
949	24988	1315
950	25019	1289
951	25044	1262
952	25067	1236
953	25092	1209
954	25115	1183
955	25139	1157
956	25163	1130
957	25186	1104
958	25211	1077
959	25221	1050
960	25245	1024
961	25269	998
962	25325	973
963	25350	946
964	25375	920
965	25401	894
966	25424	867
967	25449	841
968	25477	815
969	25504	788
970	25532	762
971	25556	736
972	25584	709
973	25609	683
974	25635	657
975	25663	631
976	25692	604
977	25719	578
978	25746	552
979	25771	525
980	25800	499
981	25827	473
982	25851	447
983	25878	420
984	25903	394
985	25928	368
986	25953	341
987	25981	315
988	26010	289
989	26034	262
990	26061	236
991	26084	210
992	26109	184
993	26132	157
994	26157	131
995	26180	105
996	26206	78
997	26229	52
998	26255	26
999	26281	0
